G,GC,GF,GS,GSC,GSF,V,E,D
73,41,32,54,17,37,29,4,1
60,34,26,54,22,32,16,5,13
59,30,29,50,22,28,13,10,11
54,30,24,49,15,34,16,10,8
44,29,15,49,18,31,23,9,2
43,24,19,45,19,26,21,5,8
41,29,12,45,18,27,12,11,11
41,27,14,44,14,30,14,6,14
40,21,19,43,12,31,11,10,13
35,28,7,42,18,24,12,8,14
34,24,10,40,17,23,10,7,17
33,20,13,40,16,24,8,5,21
33,25,8,39,11,28,10,7,17
30,18,12,38,9,29,11,7,16
30,19,11,34,18,16,7,10,17
30,20,10,30,14,16,7,13,14
27,21,6,21,9,12,6,14,14
25,16,9,15,7,8,3,13,18
