Porto,Maritimo,2,0
Academica,Sp Lisbon,1,1
Gil Vicente,Guimaraes,1,3
Benfica,Pacos Ferreira,2,0
Nacional,Moreirense,0,1
Penafiel,Belenenses,1,3
Rio Ave,Setubal,2,0
Sp Braga,Boavista,3,0
Arouca,Estoril,1,1
Guimaraes,Penafiel,3,0
Maritimo,Academica,2,1
Pacos Ferreira,Porto,0,1
Sp Lisbon,Arouca,1,0
Belenenses,Nacional,3,1
Boavista,Benfica,0,1
Estoril,Rio Ave,1,5
Setubal,Gil Vicente,2,0
Moreirense,Sp Braga,0,0
Academica,Setubal,1,1
Belenenses,Guimaraes,0,3
Sp Braga,Estoril,2,1
Benfica,Sp Lisbon,1,1
Gil Vicente,Maritimo,1,2
Nacional,Arouca,2,0
Penafiel,Pacos Ferreira,0,1
Porto,Moreirense,3,0
Rio Ave,Boavista,4,0
Setubal,Benfica,0,5
Arouca,Sp Braga,1,0
Moreirense,Rio Ave,1,1
Sp Lisbon,Belenenses,1,1
Boavista,Academica,1,0
Estoril,Nacional,2,1
Guimaraes,Porto,1,1
Maritimo,Penafiel,2,0
Pacos Ferreira,Gil Vicente,1,1
Guimaraes,Pacos Ferreira,1,1
Nacional,Sp Braga,1,1
Penafiel,Setubal,2,0
Belenenses,Maritimo,1,0
Benfica,Moreirense,3,1
Gil Vicente,Sp Lisbon,0,4
Porto,Boavista,0,0
Rio Ave,Arouca,1,2
Academica,Estoril,2,2
Sp Lisbon,Porto,1,1
Estoril,Benfica,2,3
Sp Braga,Rio Ave,3,0
Arouca,Academica,0,1
Boavista,Gil Vicente,3,2
Maritimo,Guimaraes,4,0
Moreirense,Penafiel,0,0
Setubal,Nacional,2,0
Pacos Ferreira,Belenenses,2,0
Guimaraes,Boavista,3,0
Penafiel,Sp Lisbon,0,4
Academica,Moreirense,0,0
Belenenses,Setubal,1,1
Benfica,Arouca,4,0
Gil Vicente,Estoril,1,1
Nacional,Rio Ave,0,0
Pacos Ferreira,Maritimo,3,2
Porto,Sp Braga,2,1
Setubal,Guimaraes,0,1
Arouca,Porto,0,5
Boavista,Pacos Ferreira,1,2
Moreirense,Gil Vicente,2,0
Estoril,Belenenses,1,2
Nacional,Academica,1,0
Sp Braga,Benfica,2,1
Sp Lisbon,Maritimo,4,2
Rio Ave,Penafiel,3,2
Benfica,Rio Ave,1,0
Guimaraes,Sp Lisbon,3,0
Penafiel,Estoril,1,2
Porto,Nacional,2,0
Academica,Sp Braga,1,1
Gil Vicente,Arouca,1,1
Maritimo,Moreirense,1,2
Pacos Ferreira,Setubal,4,1
Belenenses,Boavista,3,1
Arouca,Guimaraes,1,2
Sp Braga,Gil Vicente,2,0
Boavista,Penafiel,1,0
Estoril,Porto,2,2
Moreirense,Belenenses,0,1
Nacional,Benfica,1,2
Setubal,Maritimo,1,0
Sp Lisbon,Pacos Ferreira,1,1
Rio Ave,Academica,3,0
Guimaraes,Moreirense,2,1
Belenenses,Arouca,0,0
Penafiel,Sp Braga,1,6
Sp Lisbon,Setubal,3,0
Academica,Benfica,0,2
Gil Vicente,Nacional,0,0
Maritimo,Boavista,4,0
Porto,Rio Ave,5,0
Pacos Ferreira,Estoril,1,1
Boavista,Sp Lisbon,1,3
Academica,Porto,0,3
Benfica,Belenenses,3,0
Estoril,Setubal,1,0
Rio Ave,Gil Vicente,0,0
